delay,freq,condtion,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,400,unexp,196,4,12,space,0.16133191700100724,None,61,1,[4.214889041999413],[4.214894708000429],12,4,196,2,2144.8110709169996,,2144.805320333,2144.8110709169996,2145.7951178330004,2145.7951178330004,2145.8048907499997,2145.9632125000007,space,0.16133191700100724,None,2145.9645564580005,2146.3715468746673,2146.6776394999997,2146.6600442920007,2146.6620149169994,2146.6776394999997,2146.6776394999997,2146.6776394999997,2150.8929329170005,61,1,[4.214889041999413],[4.214894708000429],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,197,5,12,space,0.19042129199988267,None,888,1,[2.9209715830002096],[2.920976792000147],12,5,197,11,2150.9052068750007,,2150.89314025,2150.9052068750007,2151.8880865419997,2151.8880865419997,2151.8950630420004,2152.08990275,space,0.19042129199988267,None,2152.0912652919997,2152.4945870836677,2152.8006019580007,2152.782630625001,2152.784331125,2152.8006019580007,2152.8006019580007,2152.8006019580007,2155.7219645000005,888,1,[2.9209715830002096],[2.920976792000147],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,400,unexp,198,6,12,space,0.2757627089995367,None,249,1,[2.421081291999144],[2.4210867499987216],12,6,198,1,2155.727480333,,2155.7221972080006,2155.727480333,2156.712873541999,2156.712873541999,2156.7213974999995,2157.000345208,space,0.2757627089995367,None,2157.000882417,2157.405257083667,2157.711489417001,2157.6937515829995,2157.6957327500004,2157.711489417001,2157.711489417001,2157.711489417001,2160.132961792,249,1,[2.421081291999144],[2.4210867499987216],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,199,7,12,space,7.269938667001043,None,607,1,[1.7322828750002373],[1.7322887080008513],12,7,199,10,2160.138520167,,2160.1331635829993,2160.138520167,2161.1290454579994,2161.1290454579994,2161.1290454579994,2168.4073737920007,space,7.269938667001043,None,2168.4089563750003,2168.5151770416674,2168.8285572080003,2168.810591042,2168.8124905000004,2168.8285572080003,2168.8285572080003,2168.8285572080003,2170.5612385000004,607,1,[1.7322828750002373],[1.7322887080008513],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.7,1000,exp,200,8,12,space,0.2856791249996604,None,427,1,[3.5368033750000905],[3.536808459000895],12,8,200,12,2170.5717012919995,,2170.5614540000006,2170.5717012919995,2171.5555831250003,2171.5555831250003,2171.562622792,2171.846858375,space,0.2856791249996604,None,2171.848282125,2172.555968291667,2172.861993208,2172.8441345829997,2172.8460462500007,2172.861993208,2172.861993208,2172.861993208,2176.3991975829995,427,1,[3.5368033750000905],[3.536808459000895],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,201,9,12,space,0.1447331250001298,None,139,1,[4.175776082998709],[4.175781665999239],12,9,201,4,2176.4049655830004,,2176.399403208001,2176.4049655830004,2177.395591417,2177.395591417,2177.395591417,2177.5460911669998,space,0.1447331250001298,None,2177.546615916999,2177.645421208667,2177.9514645420004,2177.933934208,2177.9356773750005,2177.9514645420004,2177.9514645420004,2177.9514645420004,2182.127713375001,139,1,[4.175776082998709],[4.175781665999239],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,202,10,12,space,1.9848915000002307,None,163,1,[1.9485405840005114],[1.948545750001358],12,10,202,13,2182.140144125,,2182.1279254170004,2182.140144125,2183.122491833001,2183.122491833001,2183.1292246249996,2185.113570416999,space,1.9848915000002307,None,2185.1148818750007,2185.2227802086677,2185.5291249170004,2185.5110954169995,2185.5134682499993,2185.5291249170004,2185.5291249170004,2185.5291249170004,2187.4780683749996,163,1,[1.9485405840005114],[1.948545750001358],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,203,11,12,space,0.0477810420015885,None,532,1,[2.070762540999567],[2.0707684160006465],12,11,203,5,2187.4888231250006,,2187.4782739580005,2187.4888231250006,2188.4728443330005,2188.4728443330005,2188.47924875,2188.5246573330005,space,0.0477810420015885,None,2188.5261859580005,2188.9292067496667,2189.2364639999996,2189.218292333,2189.2200014169994,2189.2364639999996,2189.2364639999996,2189.2364639999996,2191.3076230419992,532,1,[2.070762540999567],[2.0707684160006465],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,204,12,12,space,0.5903972910000448,None,420,1,[5.8830724580002425],[5.8830774999987625],12,12,204,8,2191.3224507920004,,2191.307838500001,2191.3224507920004,2192.3060857500004,2192.3060857500004,2192.313576332999,2192.908087874999,space,0.5903972910000448,None,2192.9095051250006,2193.3126752916673,2193.616848083,2193.600579958,2193.602084458,2193.616848083,2193.616848083,2193.616848083,2199.500316042,420,1,[5.8830724580002425],[5.8830774999987625],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,205,13,12,space,0.6086158340003749,None,825,1,[2.5224243749999005],[2.5224307919997955],12,13,205,14,2199.5058184579993,,2199.500518250001,2199.5058184579993,2200.497209833,2200.497209833,2200.497209833,2201.1085607080004,space,0.6086158340003749,None,2201.110136667001,2201.512430999667,2201.817285958001,2201.801076083,2201.802807,2201.817285958001,2201.817285958001,2201.817285958001,2204.3401505420006,825,1,[2.5224243749999005],[2.5224307919997955],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,400,unexp,206,14,12,space,1.6145414999991772,None,119,1,[7.026616000001013],[7.026621166000041],12,14,206,0,2204.3459850420004,,2204.3403732080005,2204.3459850420004,2205.3301470829992,2205.3301470829992,2205.3399087079997,2206.9477858749997,space,1.6145414999991772,None,2206.9491760830006,2207.0565897086676,2207.3643661669994,2207.3454585,2207.347776041999,2207.3643661669994,2207.3643661669994,2207.3643661669994,2214.3913850829995,119,1,[7.026616000001013],[7.026621166000041],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.7,400,unexp,207,15,12,space,4.002128625001205,None,741,1,[4.090092207999987],[4.0900972910003475],12,15,207,3,2214.4064182500006,,2214.3915900829998,2214.4064182500006,2215.3899475420003,2215.3899475420003,2215.3964544579994,2219.3977478750003,space,4.002128625001205,None,2219.3989414999996,2220.0970590836664,2220.4001788749993,2220.38472025,2220.3862332080007,2220.4001788749993,2220.4001788749993,2220.4001788749993,2224.4906728330006,741,1,[4.090092207999987],[4.0900972910003475],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,208,0,13,space,0.026977124998666113,None,10,1,[2.0775924590016075],[2.077597584000614],13,0,208,8,2224.4963674169994,,2224.490904167,2224.4963674169994,2225.4812269169997,2225.4812269169997,2225.4900952919998,2225.514511208001,space,0.026977124998666113,None,2225.5157132919994,2225.923985458667,2226.2295587080007,2226.2124433749996,2226.214347542,2226.2295587080007,2226.2295587080007,2226.2295587080007,2228.307579458,10,1,[2.0775924590016075],[2.077597584000614],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,209,1,13,space,0.36586945799899695,None,25,1,[3.5786691670000437],[3.5786746249996213],13,1,209,4,2228.3125427920004,,2228.307792083,2228.3125427920004,2229.297469583,2229.297469583,2229.307361583,2229.6649694999996,space,0.36586945799899695,None,2229.666416708,2229.774322999667,2230.081325958001,2230.062509833,2230.0644141249995,2230.081325958001,2230.081325958001,2230.081325958001,2233.660394208,25,1,[3.5786691670000437],[3.5786746249996213],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.7,1000,exp,210,2,13,space,0.29585716700057674,None,312,1,[4.671752707999985],[4.671758708000198],13,2,210,9,2233.6655637500007,,2233.660593458,2233.6655637500007,2234.657544875001,2234.657544875001,2234.663320625001,2234.9591720829994,space,0.29585716700057674,None,2234.9606299999996,2235.6636184586664,2235.969979457999,2235.952068208,2235.954213249999,2235.969979457999,2235.969979457999,2235.969979457999,2240.642130583001,312,1,[4.671752707999985],[4.671758708000198],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,211,3,13,space,0.900513291999232,None,601,1,[2.309317082999769],[2.3093221669987543],13,3,211,11,2240.657113833,,2240.6423331669994,2240.657113833,2241.640859708001,2241.640859708001,2241.6472930420005,2242.5477111670007,space,0.900513291999232,None,2242.5482513330007,2242.947896416667,2243.2532430829997,2243.2359944580003,2243.237785707999,2243.2532430829997,2243.2532430829997,2243.2532430829997,2245.5629492499993,601,1,[2.309317082999769],[2.3093221669987543],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
