stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
36,0.5,2.0,42.976257500005886,,42.96474629198201,42.976257500005886,43.4636911249836,43.4636911249836,43.4636911249836,43.759659708011895,43.89431395800784,left,-2.0,1,1,0.4218103750026785,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
37,0.5,2.0,43.90157241700217,,43.89462145802099,43.90157241700217,44.39300583302975,44.39300583302975,44.39774458302418,44.680234708008356,44.91081758303335,left,-2.0,1,1,0.509574124997016,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
38,0.5,1.5,44.918169583019335,,44.91111308301333,44.918169583019335,45.40970529202605,45.40970529202605,45.413560041983146,45.69695070799207,46.01092216698453,left,-1.5,1,1,0.595899083011318,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
39,0.5,1.5,46.01812008302659,,46.01118662499357,46.01812008302659,46.497587624995504,46.497587624995504,46.514606249984354,46.7930906250258,47.26101058302447,right,1.5,1,1,0.7549507080111653,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
40,0.5,1.5,47.26783125003567,,47.26131187501596,47.26783125003567,47.759802374988794,47.759802374988794,47.76352420798503,48.046926542010624,48.277693875017576,right,1.5,1,1,0.5055627090041526,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
41,0.5,1.0,48.2848430830054,,48.27798166702269,48.2848430830054,48.776519917009864,48.776519917009864,48.78042212501168,49.06403670803411,49.344458499981556,right,1.0,0,0,0.5651688340003602,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
42,0.5,1.5,49.351785583014134,,49.34484258299926,49.351785583014134,49.842952999984846,49.842952999984846,49.8477377499803,50.13019566703588,50.26052262500161,left,-1.5,1,1,0.4095257500302978,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
43,0.5,1.5,50.26574033300858,,50.26080537500093,50.26574033300858,50.75937225000234,50.75937225000234,50.763422542018816,51.04712279199157,51.46558158303378,left,-1.5,1,1,0.703109249996487,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
44,0.5,1.5,51.47658612503437,,51.46584354201332,51.47658612503437,51.96394575003069,51.96394575003069,51.96394575003069,52.26024858298479,52.34840937500121,left,-1.5,1,1,0.38049937499454245,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
45,0.5,1.0,52.3598939999938,,52.34865529200761,52.3598939999938,52.84330399997998,52.84330399997998,52.8481252079946,53.130853625014424,53.427771707996726,left,-1.0,1,1,0.5730922080110759,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
