pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
150,v,14,14,4,,,,,f2,0,5.246961417142302,None,,,,,4,14,14,1,305.45269675017335,,,,,,,,,,,,,,,,305.44402108411305,305.45269675017335,306.441982208984,306.441982208984,306.441982208984,306.441982208984,306.4488867500331,307.4419995842036,307.4419995842036,312.6983913751319,f2,0,5.246961417142302,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-50,x,15,15,3,,,,,x,1,7.515125707956031,None,,,,,3,15,15,0,312.71079441718757,,,,,,,,,,,,,,,,312.6989315841347,312.71079441718757,313.69202237506397,313.69202237506397,313.69202237506397,313.69202237506397,313.7089386251755,314.69248079205863,314.69248079205863,322.2107844171114,x,1,7.515125707956031,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-150,z,16,16,3,,,,,z,1,1.090918374946341,None,,,,,3,16,16,3,322.2209310841281,,,,,,,,,,,,,,,,322.2116512921639,322.2209310841281,323.20905366702937,323.20905366702937,323.20905366702937,323.20905366702937,323.2154652089812,324.2093020421453,324.2093020421453,325.3109497500118,z,1,1.090918374946341,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-50,x,17,17,4,,,,,x,1,0.5561337920371443,None,,,,,4,17,17,0,325.3196920421906,,,,,,,,,,,,,,,,325.3115304170642,325.3196920421906,326.3091975420248,326.3091975420248,326.3091975420248,326.3091975420248,326.3161327501293,327.3091533340048,327.3091533340048,327.8778242091648,x,1,0.5561337920371443,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
50,c,18,18,4,,,,,c,1,9.704991708043963,None,,,,,4,18,18,2,327.88289700006135,,,,,,,,,,,,,,,,327.87828425015323,327.88289700006135,328.8760647091549,328.8760647091549,328.8760647091549,328.8760647091549,328.882194875041,329.8761428750586,329.8761428750586,339.58456695917994,c,1,9.704991708043963,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-50,x,19,19,5,,,,,x,1,1.2474411248695105,None,,,,,5,19,19,0,339.59357037511654,,,,,,,,,,,,,,,,339.5851705421228,339.59357037511654,340.58444220898673,340.58444220898673,340.58444220898673,340.58444220898673,340.58444220898673,341.5829007921275,341.5829007921275,342.8348475419916,x,1,1.2474411248695105,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
150,v,20,20,5,,,,,v,1,12.621517459163442,None,,,,,5,20,20,1,342.85983937513083,,,,,,,,,,,,,,,,342.83555233408697,342.85983937513083,343.8347589171026,343.8347589171026,343.8347589171026,343.8347589171026,343.8495711251162,344.83404758409597,344.83404758409597,357.4621266250033,v,1,12.621517459163442,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
50,c,21,21,5,,,,,c,1,2.210389583837241,None,,,,,5,21,21,2,357.4725470421836,,,,,,,,,,,,,,,,357.462716500042,357.4725470421836,358.46022366709076,358.46022366709076,358.46022366709076,358.46022366709076,358.4666750000324,359.4602355421521,359.4602355421521,361.67890066700056,c,1,2.210389583837241,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-150,z,22,22,4,,,,,z,1,0.5804506670683622,None,,,,,4,22,22,3,361.68863654206507,,,,,,,,,,,,,,,,361.6795300419908,361.68863654206507,362.67726404219866,362.67726404219866,362.67726404219866,362.67726404219866,362.68370887520723,363.67723162518814,363.67723162518814,364.26216716715135,z,1,0.5804506670683622,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
50,c,23,23,6,,,,,c,1,1.3672642919700593,None,,,,,6,23,23,2,364.2719041670207,,,,,,,,,,,,,,,,364.2627850000281,364.2719041670207,365.26037170900963,365.26037170900963,365.26037170900963,365.26037170900963,365.2673587501049,366.2603856250644,366.2603856250644,367.6347467920277,c,1,1.3672642919700593,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-150,z,24,24,5,,,,,z,1,5.808666083030403,None,,,,,5,24,24,3,367.64372429205105,,,,,,,,,,,,,,,,367.6353633340914,367.64372429205105,368.63493420905434,368.63493420905434,368.63493420905434,368.63493420905434,368.63493420905434,369.6274555840064,369.6274555840064,375.44586112513207,z,1,5.808666083030403,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
